"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"96561-6","","","","","","","","","Citrullinated alpha enolase peptide 1 Ab [Units/volume] in Serum by Immunoassay","","أضداد الببتيد ألفا إينولاز 1 السيتروليني ( بتقنية الوحدات / الحجم ) في المصل باستخدام تقنية تقنية الإختبار المناعي"
"96918-8","","","","","","","","","Fodrin alpha subunit IgA Ab [Units/volume] in Serum or Plasma by Immunoassay","","أضداد الغلوبولين المناعي نمط A للوحدة الفرعية التابعة للألفا فوديرين ( بتقنية الوحدات / الحجم ) في المصل أو البلازما باستخدام تقنية الإختبار المناعي"
"9353-4","","","","","","","","","Baclofen [Mass/volume] in Serum or Plasma","","عيار نسبة دواء الباكلوفين ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"93840-7","","","","","","","","","Epstein Barr virus DNA [Units/volume] (viral load) in Blood by NAA with probe detection","","قياس كمية الحمض النووي ( الحمل الفيروسي ) لفيروس إبشتاين بار في الدم ( بتقنية تضخيم الحمض النووي )"
"9409-4","","","","","","","","","Anabolic steroids [Identifier] in Urine","","تحدبد نوع المنشطات الستيرويدية في البول"
"94098-1","","","","","","","","","Dense fine speckled 70 protein IgG Ab [Presence] in Serum or Plasma by Immunoassay","","الكشف عن تواجد الأجسام المضادة IgG البروتينية الكثيفة والمنقطية الدقيقة 70 في المصل أو البلازما ( بتقنية المقابسة المناعية )"
"9515-8","","","","","","","","","Diclofenac [Mass/volume] in Serum or Plasma","","اليكلوفيناك في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"9616-4","","","","","","","","","17-Hydroxyprogesterone [Mass/time] in 24 hour Urine","","17 هيدروكسي بروجسترون ( بتقنية الكتلة / الزمن ) في البول المجمع لمدة 24 ساعة"
"97999-7","","","","","","","","","HLA-DP and DQ and DR (class II) IgG donor specific [Identifier] in Serum or Plasma","","الكشف عن أضداد الغلوبولين المناعي نمط G لمستضدات الكريات البيض ( DP, DQ, DR ) للمتبرع ( الفئة الثانية )"
"21037-7","","","","","","","","","17-Hydroxypregnenolone [Mass/time] in 24 hour Urine","","17 هيدروكسي بريغنينولون ( بتقنية الكتلة / الزمن ) في البول المجمع لمدة 24 ساعة"
"21198-7","","","","","","","","","Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma","","هرمون موجهة الغدد التناسلية المشيمية البشرية بيتا في المصل أو البلازما ( بتقنية الوحدات / الحجم )"
"21247-2","","","","","","","","","DMD gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","","الكشف عن تواجد طفرة ضمور العضلات دوشين في الدم أو الأنسجة ( بتقنية الوراثة الجزيئية )"
"2243-4","","","","","","","","","Estradiol (E2) [Mass/volume] in Serum or Plasma","","الإستراديول ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"3218-5","","","","","","","","","Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر العاشر الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"3226-8","","","","","","","","","Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر الحادي عشر الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"32769-2","","","","","","","","","Alpha 1 antitrypsin phenotype [Interpretation] in Serum or Plasma","","النمط الظاهري للألفا 1 أنتي تريبسين في المصل أو البلازما"
"3312-6","","","","","","","","","ALPRAZolam [Mass/volume] in Serum or Plasma","","الألبرازولام "" الكساناكس "" ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"3237-5","","","","","","","","","Coagulation factor XIII activated [Units/volume] in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر الثالث عشر الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"32621-5","","","","","","","","","HLA-DR [Presence]","","الكشف عن تواجد مستضد الكريات البيضاء البشرية نمط DR"
"33422-7","","","","","","","","","Amphiphysin Ab [Presence] in Serum","","الكشف عن تواجد أضداد الأمففسين في المصل"
"33718-8","","","","","","","","","Cytology report of Tissue fine needle aspirate Cyto stain","","دراسة الخلايا لخزعة بالإبرة الدقيقة للأنسجة"
"33863-2","","","","","","","","","Cystatin C [Mass/volume] in Serum or Plasma","","السيستاتين سي ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"3659-0","","","","","","","","","Furosemide [Mass/volume] in Serum or Plasma","","الفوروسيميد في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"3780-4","","","","","","","","","Methamphetamine [Mass/volume] in Urine","","الميتامفيتامين ( الكتلة / الحجم ) في البول"
"3457-9","","","","","","","","","chlordiazePOXIDE [Mass/volume] in Serum or Plasma","","الكلورديازيبوكسيد في المصل أو البلازما ( بتقنية الكتلة/الحجم )"
"35173-4","","","","","","","","","Eicosapentaenoate (C20:5w3) [Moles/volume] in Serum or Plasma","","حمض الإيكوسابنتانيوك (C20:5w3) في لمصل أو البلازما ( بتقنية المولات / الحجم )"
"35180-9","","","","","","","","","Docosapentaenate (C22:5w3) [Moles/volume] in Serum or Plasma","","حمض الدوكوسابنتاينويك (C22:5w3) في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"3520-4","","","","","","","","","cycloSPORINE [Mass/volume] in Blood","","السيكلوسبورين ( بتقنية الكتلة / الحجم ) في الدم"
"3628-5","","","","","","","","","Fecal Immunochemical Testing Method (FIT)","","تقنية فحص المناعة الكيميائية للبراز ( FIT )"
"39554-1","","","","","","","","","Endomysium IgG Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة للغلوبولين المناعي نمط G لغشاء الليف الداخلي في المصل"
"41091-0","","","","","","","","","MEFV gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","","الكشف عن طفرة الجين المسبب لحمى البحر الأبيض المتوسط العائلية في الدم أو الأنسجة ( بتقنية الوراثة الجزيئية )"
"41171-0","","","","","","","","","Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma","","الببتيد الطرفي الكربوكسيلي المتشابك مع الكولاجين ( بتقنية الكتلة/الحجم ) في المصل أو البلازما"
"41107-4","","","","","","","","","FMR1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","","الكشف عن تواجد طفرات في جين FMR1 في الدم أو الأنسجة ( بتقنية الوراثة الجزيئية )"
"46737-3","","","","","","","","","Galactosemias newborn screen interpretation","","فحص حديثي الولادة لكشف فرط الغالاكتوز ( الغالاغتوسيميا )"
"43312-8","","","","","","","","","Desmoglein 3 Ab [Units/volume] in Serum","","أضداد الديسموغلين 3 في المصل ( بتقنية الوحدات / الحجم )"
"46769-6","","","","","","","","","Cystic fibrosis newborn screen interpretation","","الكشف عن التليف الكيسي ( بتقنية فحص حديثي الولادة )"
"47828-9","","","","","","","","","Adiponectin [Mass/volume] in Serum or Plasma","","الأديبونكتين ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"49502-8","","","","","","","","","Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in Blood","","نشاط الإنزيم النازع للهيدروجين غلوكوز 6 فوسفات في الدم ( بتقنية تحفيز النشاط الكلي )"
"5130-0","","","","","","","","","DNA double strand Ab [Units/volume] in Serum","","أضداد الحمض النووي ثنائي السلسلة في المصل ( بتقنية الوحدات / الحجم )"
"51867-0","","","","","","","","","t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript in Blood or Tissue by FISH","","الكشف عن النسخة الجينية المندمجة t(9;22) (q34.1;q11) (ABL1,BCR) في الدم أو الأنسجة باستخدام تقنية التهجين الفلوري"
"51980-1","","","","","","","","","Glomerular basement membrane Ab [Mass/volume] in Serum","","أضداد الغشاء القاعدي الكبيبي في المصل ( بتقمية الكتلة / الحجم )"
"5640-8","","","","","","","","","Ethanol [Mass/volume] in Blood","","الإيثانول في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"57453-3","","","","","","","","","Chromosome 18 aneuploidy in Amniotic fluid or Chorionic villus sample by FISH Nominal","","الكشف عن اختلال الصيغة الصبغية للكروموسوم 18 في عينة من السائل الأمنيوسي أو الزغابات المشيمية ( بتقنية التهجين الفلوري )"
"58415-1","","","","","","","","","BRAF gene p.Val600Glu [Presence] in Tissue by Molecular genetics method","","الكشف عن وجود طفرة p.Val600Glu في جين BRAF في الأنسجة باستخدام طريقة علم الوراثة الجزيئية"
"58769-1","","","","","","","","","Trisomy 13 risk [Likelihood] in Fetus","","الكشف عن احتمالية خطر إصابة الجنين بالتثلث الصبغي 13"
"70009-6","","","","","","","","","Enterovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط M لفيروسات الأمعاء في المصل أو البلازما ( بتقنية الفحص المناعي )"
"74094-4","","","","","","","","","Gliclazide [Mass/volume] in Serum or Plasma","","الجليكلازيد في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"74117-3","","","","","","","","","Adalimumab [Mass/volume] in Serum or Plasma","","الأداليموماب ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"75223-8","","","","","","","","","Dengue virus IgG and IgM [Identifier] in Serum, Plasma or Blood by Rapid immunoassay","","الكشف عن تواجد أضداد الغلوبولين المناعي من نمط G و M لفيروس حمى الضنك في المصل أو البلازما أو الدم (بتقنية الفحص المناعي السريع)"
"76474-6","","","","","","","","","Ghrelin [Mass/volume] in Serum or Plasma","","هرمون الغريلين "" هرمون الجوع "" في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"7847-7","","","","","","","","","Taenia solium larva IgG Ab [Presence] in Serum","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G ليرقة الدودة الشريطية الوحيدة في المصل"
"7888-1","","","","","","","","","Francisella tularensis Ab [Presence] in Serum","","الكشف عن تواجد أضداد بكتيريا الفرنسيسلا التولارية في المصل"
"82979-6","","","","","","","","","Contactin-associated protein 2 IgG Ab [Presence] in Serum or Plasma by Immunofluorescence","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G للبروتين المرتبط بالكونتاكتين 2 ( بتقنية التألق المناعي )"
"9416-9","","","","","","","","","Acyclovir [Mass/volume] in Serum or Plasma","","الأسيكلوفير ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"9428-4","","","","","","","","","Benzodiazepines [Mass/volume] in Urine","","البنزوديازيبينات ( بتقنية الكتلة / الحجم ) في البول"
"96985-7","","","","","","","","","Sex [Type] in Products of Conception by Molecular genetics method","","تحديد نوع جنس الجنين في نواتج الحمل ( بتقنية الوراثة الجزيئية )"
"9738-6","","","","","","","","","Gabapentin [Mass/volume] in Serum, Plasma or Blood","","الغابابنتين في المصل أو البلازما أو الدم ( بتقنية الكتلة / الحجم )"
"1003-3","","","","","","","","","Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma","اختبار كومبس الغير مباشر","اختبار كومبس الغير مباشر"
"11475-1","","","","","","","","","Microorganism identified in Specimen by Culture","تحديد نوع البكتيريا "" الجرثوم "" عن طريق زراعة العينة","تحديد نوع البكتيريا "" الجرثوم "" عن طريق زراعة العينة"
"12480-0","","","","","","","","","Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid","الأنزيم المحول للأنجيوتنسين في السائل الدماغي الشوكي","الأنزيم المحول للأنجيوتنسين في السائل الدماغي الشوكي"
"12949-4","","","","","","","","","Transferrin.carbohydrate deficient [Mass/volume] in Serum or Plasma","ترانسفيرين ناقص الكربوهيدرات","ترانسفيرين ناقص الكربوهيدرات"
"14232-3","","","","","","","","","Adrenal Ab [Presence] in Serum","أضداد الغدة الكظرية","أضداد الغدة الكظرية"
"1761-6","","","","","","","","","Aldolase [Enzymatic activity/volume] in Serum or Plasma","أنزيم الألدولاز","أنزيم الألدولاز"
"1952-1","","","","","","","","","Beta-2-Microglobulin [Mass/volume] in Serum or Plasma","بيتا 2 ميكروغلوبيولين","بيتا 2 ميكروغلوبيولين"
"1977-8","","","","","","","","","Bilirubin.total [Presence] in Urine","البيليروبين الكلي","البيليروبين الكلي"
"2013-1","","","","","","","","","Cancer Ag 50 [Presence] in Serum or Plasma","المؤشر السرطاني 50","الواسم "" المؤشر "" "" المستضد "" السرطاني 50"
"2039-6","","","","","","","","","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma","المؤشر السرطاني CEA","الواسم "" المؤشر "" السرطاني CEA"
"2057-8","","","","","","","","","Catecholamines [Mass/volume] in Urine","الكاتيكولامينات الكلية","الكاتيكولامينات الكلية"
"10338-2","","","","","","","","","Barbiturates [Mass/volume] in Serum or Plasma","الباربيتورات","الباربيتورات"
"12468-5","","","","","","","","","Amino acids [Identifier] in Serum or Plasma","تحديد كمية الحموض الأمينية","تحديد كمية الحموض الأمينية"
"13550-9","","","","","","","","","clonazePAM [Presence] in Serum or Plasma","قياس مستوى الكلونازيبام "" الريفوتريل ""","قياس مستوى الكلونازيبام "" الريفوتريل """
"13903-0","","","","","","","","","Vasopressin [Mass/volume] in Urine","الهرمون المضاد لإدرارالبول","الهرمون المضاد لإدرارالبول "" الفاسوبريسين ، ADH """
"13960-0","","","","","","","","","Coproporphyrin [Presence] in 24 hour Urine","قياس مستوى الكوبروبورفيرين في البول","قياس مستوى الكوبروبورفيرين في البول"
"1763-2","","","","","","","","","Aldosterone [Mass/volume] in Serum or Plasma","الألدوستيرون في المصل","الألدوستيرون في المصل"
"17861-6","","","","","","","","","Calcium [Mass/volume] in Serum or Plasma","قياس مستوى الكالسيوم","قياس مستوى الكالسيوم"
"1963-8","","","","","","","","","Bicarbonate [Moles/volume] in Serum or Plasma","قياس مستوى البايكاربونات","قياس مستوى البايكاربونات"
"1992-7","","","","","","","","","Calcitonin [Mass/volume] in Serum or Plasma","هرمون الكالسيتونين","هرمون الكالسيتونين"
"2007-3","","","","","","","","","Cancer Ag 15-3 [Presence] in Serum or Plasma","المؤشر السرطاني 3-15","الواسم "" المؤشر "" "" المستضد "" السرطاني 3-15"
"20420-6","","","","","","","","","Prostatic acid phosphatase [Mass/volume] in Serum","أنزيم الفوسفاتاز الحمضي البروستاتي","أنزيم الفوسفاتاز الحمضي البروستاتي"
"20622-7","","","","","","","","","Cortisol [Mass/volume] in 24 hour Urine","قياس مستوى الكورتيزول الكلي في البول","قياس مستوى الكورتيزول الكلي في البول"
"2072-7","","","","","","","","","Chloride [Moles/volume] in Body fluid","قياس مستوى الكلوريد بسوائل البدن","قياس مستوى الكلوريد بسوائل البدن"
"1007-4","","","","","","","","","Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells","اختبار كومبس المباشر","اختبار كومبس المباشر"
"102042-9","","","","","","","","","Lung cancer panel","المجموعة الشاملة لأنواع السرطان في الرئة","المجموعة الشاملة لأنواع السرطان في الرئة"
"10365-5","","","","","","","","","Cotinine [Mass/volume] in Serum or Plasma","قياس مستوى الكوتينين","قياس مستوى الكوتينين"
"106057-3","","","","","","","","","Beta-Amyloid 1-42 and 1-40 panel - Cerebral spinal fluid","بيتا أميلويد 40-1 & 42-1","بيتا أميلويد 40-1 & 42-1"
"104537-6","","","","","","","","","Creatine, guanidinoacetate and creatinine panel - Serum or Plasma","مجموعة اضطراب الكرياتين "" كرياتين ، كرياتينين ، غوانيدينوأسيتات ""","مجموعة اضطراب الكرياتين "" كرياتين ، كرياتينين ، غوانيدينوأسيتات """
"12363-8","","","","","","","","","carBAMazepine [Presence] in Urine","الكاربامازبين "" التيغريتول "" في البول","الكاربامازبين "" التيغريتول "" في البول"
"12556-7","","","","","","","","","Copper [Mass/volume] in Blood","قياس مستوى النحاس","قياس مستوى النحاس"
"12805-8","","","","","","","","","Alkaline phosphatase isoenzyme [Units/volume] in Serum or Plasma","الأنزيمات المتماثلة للفوسفاتاز القلوية","الأنزيمات المتماثلة للفوسفاتاز القلوية"
"13500-4","","","","","","","","","Amino acid pattern [Interpretation] in Serum or Plasma","تحديد كمية الحموض الأمينية","تحديد كمية الحموض الأمينية"
"14683-7","","","","","","","","","Creatinine [Moles/volume] in Urine","قياس مستوى الكرياتينين في البول","قياس مستوى الكرياتينين في البول"
"1715-2","","","","","","","","","Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma","أنزيم الفوسفاتاز الحمضي الكلي","أنزيم الفوسفاتاز الحمضي الكلي"
"17863-2","","","","","","","","","Calcium.ionized [Mass/volume] in Serum or Plasma","قياس مستوى الكالسيوم المتأين","قياس مستوى الكالسيوم المتأين"
"1869-7","","","","","","","","","Apolipoprotein A-I [Mass/volume] in Serum or Plasma","البروتين الدهني A1","البروتين الدهني A1"
"18860-7","","","","","","","","","Amikacin [Susceptibility]","قياس مستوى الأميكاسين ( مضاد حيوي)","قياس مستوى الأميكاسين"
"1986-9","","","","","","","","","C peptide [Mass/volume] in Serum or Plasma","قياس مستوى الببتيد سي "" الببتيد الرابط ""","قياس مستوى الببتيد سي "" الببتيد الرابط """
"2006-5","","","","","","","","","Cancer Ag 125 [Presence] in Serum or Plasma","المؤشر السرطاني 125","الواسم "" المؤشر "" "" المستضد "" السرطاني 125"
"2009-9","","","","","","","","","Cancer Ag 19-9 [Presence] in Serum or Plasma","المؤشر السرطاني 9-19","الواسم "" المؤشر "" "" المستضد "" السرطاني 9-19"
"2042-0","","","","","","","","","Carnitine free (C0) [Presence] in Serum or Plasma","الكارنيتين الحر","الكارنيتين الحر"
"2064-4","","","","","","","","","Ceruloplasmin [Mass/volume] in Serum or Plasma","السيرولوبلازمين","السيرولوبلازمين"
"2075-0","","","","","","","","","Chloride [Moles/volume] in Serum or Plasma","قياس مستوى الكلوريد بالمصل","قياس مستوى الكلوريد بالمصل"
"2099-0","","","","","","","","","Cholinesterase [Enzymatic activity/volume] in Red Blood Cells","قياس مستوى أنزيم الكولينيستراز في كريات الدم الحمراء","قياس مستوى أنزيم الكولينيستراز في كريات الدم الحمراء"
"106864-2","","","","","","","","","Coxsackievirus IgG Ab [Units/volume] in Serum by Immunoassay","أضداد الغلوبولين المناعي نوع G لفيروس كوكساكي","أضداد الغلوبولين المناعي نوع G لفيروس كوكساكي"
"14251-3","","","","","","","","","Mitochondria M2 IgG Ab [Units/volume] in Serum","الأجسام المضادة للميتوكوندريا (M2)","الأجسام المضادة للميتوكوندريا (M2)"
"16137-2","","","","","","","","","Centromere Ab [Presence] in Serum","أضداد القُسَيمُ المركزي "" السينترومير ""","أضداد القُسَيمُ المركزي "" السينترومير """
"1742-6","","","","","","","","","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma","الأنزيم الناقل لأمين الألانين","الأنزيم الناقل لأمين الألانين"
"1751-7","","","","","","","","","Albumin [Mass/volume] in Serum or Plasma","بروتين الألبومين","الألبومين"
"1765-7","","","","","","","","","Aldosterone [Mass/time] in 24 hour Urine","الألدوستيرون في البول","الألدوستيرون في البول"
"1839-0","","","","","","","","","Ammonia [Moles/volume] in Blood","قياس مستوى الأمونيا","قياس مستوى الأمونيا"
"1854-9","","","","","","","","","Androstenedione [Mass/volume] in Serum or Plasma","هرمون الأندروستينيديون","هرمون الأندروستينيديون"
"1884-6","","","","","","","","","Apolipoprotein B [Mass/volume] in Serum or Plasma","البروتين الدهني B","البروتين الدهني B"
"1920-8","","","","","","","","","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma","الأنزيم الناقل لأمين الأسبارتات","الأنزيم الناقل لأمين الأسبارتات"
"1971-1","","","","","","","","","Bilirubin.indirect [Mass/volume] in Serum or Plasma","قياس مستوى البيليروبين الغيرمباشر","قياس مستوى البيليروبين الغيرمباشر"
"1984-4","","","","","","","","","Bromide [Mass/volume] in Serum or Plasma","قياس مستوى البروميد","قياس مستوى البروميد"
"2015-6","","","","","","","","","Cancer Ag 72-4 [Presence] in Serum or Plasma","المؤشر السرطاني 4-72","الواسم "" المؤشر "" "" المستضد "" السرطاني 4-72"
"2053-7","","","","","","","","","Carotene [Mass/volume] in Serum or Plasma","بيتا كاروتين","بيتا كاروتين"
"21194-6","","","","","","","","","Chloride [Moles/volume] in 24 hour Urine","قياس مستوى الكلوريد بالبول","قياس مستوى الكلوريد بالبول"
"21219-1","","","","","","","","","Copper [Mass/volume] in 24 hour Urine","قياس مستوى النحاس في البول","قياس مستوى النحاس في البول"
"2141-0","","","","","","","","","Corticotropin [Mass/volume] in Plasma","الهرمون المُوَجِه للغدة الكظرية","الهرمون الموجه للغدة الكظرية"
"2142-8","","","","","","","","","Cortisol [Mass/volume] in Saliva (oral fluid)","قياس مستوى الكورتيزول الكلي في اللعاب","قياس مستوى الكورتيزول الكلي في اللعاب"
"2076-8","","","","","","","","","Chloride [Moles/mass] in Stool","الكلوريد بالبراز","الكلوريد بالبراز"
"2082-6","","","","","","","","","Cholestanol [Mass/volume] in Serum or Plasma","قياس مستوى الكوليستانول","قياس مستوى الكوليستانول"
"2110-5","","","","","","","","","Choriogonadotropin.beta subunit [Presence] in Serum or Plasma","هرمون موجهة الغدد التناسلية المشيمية الوحدة الفرعية ب","هرمون موجهة الغدد التناسلية المشيمية الوحدة الفرعية ب"
"21129-2","","","","","","","","","Cadmium [Mass/volume] in Serum or Plasma","قياس مستوى الكادميوم","قياس مستوى الكادميوم"
"21233-2","","","","","","","","","Cryptosporidium sp Ag [Presence] in Stool","الكشف عن خفية الأبواغ في البراز","الكشف عن خفية الأبواغ في البراز"
"2128-7","","","","","","","","","Citrate [Mass/volume] in Urine","السترات أو حمض الستريك في عينة البول","السترات أو حمض الستريك في عينة البول"
"22159-8","","","","","","","","","Brucella sp Ab [Titer] in Serum","عيار الأضداد الكلية للبروسيلا","عيار الأضداد الكلية للبروسيلا"
"24397-2","","","","","","","","","Brucella sp IgM Ab [Presence] in Serum","أضداد الغلوبولين المناعي نوع M للبروسيلا","أضداد الغلوبولين المناعي نوع M للبروسيلا"
"2464-6","","","","","","","","","IgG [Mass/volume] in Cerebral spinal fluid","مؤشر أضداد الغلوبولين المناعي نمط G للسائل الدماغي الشوكي","مؤشر أضداد الغلوبولين المناعي نمط G للسائل الدماغي الشوكي"
"29276-3","","","","","","","","","Calcium [Presence] in Urine","الكالسيوم في البول","الكالسيوم في البول"
"30131-7","","","","","","","","","Complement total hemolytic CH50 [Mass/volume] in Serum or Plasma","النشاط الإنحلالي للمتمم ( المكمل)","النشاط الإنحلالي للمتمم (المكمل)"
"31729-7","","","","","","","","","Bladder tumor Ag [Presence] in Urine","مستضد ورم المثانة","مستضد ورم المثانة"
"32161-2","","","","","","","","","Catecholamines [Presence] in 24 hour Urine","الكاتيكولامينات (الأدرينالين ، النورأدرينالين ، الدوبامين) في البول","الكاتيكولامينات (الأدرينالين ، النورأدرينالين ، الدوبامين) في البول"
"32362-6","","","","","","","","","BK virus DNA [Presence] in Serum or Plasma by NAA with probe detection","الكشف عن فيروس الـ BK باستخدام تقنية التفاعل التسلسلي للبوليميراز","الكشف عن فيروس الـ BK باستخدام تقنية التفاعل التسلسلي للبوليميراز"
"21054-2","","","","","","","","","Adenovirus IgM Ab [Presence] in Serum","أضداد الغلوبولين المناعي نمط M للفيروس الغدي","أضداد الغلوبولين المناعي نمط M للفيروس الغدي"
"22175-4","","","","","","","","","Chlamydophila psittaci Ab [Presence] in Serum","أضداد الكلاميديا الببغائية","أضداد الكلاميديا المتدثرة الببغائية"
"26636-1","","","","","","","","","Candida sp Ab [Presence] in Serum","أضداد الغلوبولينات المناعية للمبيضات "" الكانديدا ""","أضداد الغلوبولينات المناعية للمبيضات "" الكانديدا """
"30212-5","","","","","","","","","Coxiella burnetii IgG Ab [Presence] in Serum","أضداد الغلوبولين المناعي نوع G للكوكسيلا البورنيتية "" حمى Q ""","أضداد الغلوبولين المناعي نوع G للكوكسيلا البورنيتية "" حمى Q """
"30522-7","","","","","","","","","C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method","البروتين المتفاعل سي "" عالي الحساسية ""","البروتين المتفاعل سي "" عالي الحساسية """
"3175-7","","","","","","","","","Antithrombin Ag [Units/volume] in Platelet poor plasma by Immunoassay","مضاد الثرومبين الثالث ( مثبط للتجلط)","مضاد الثرومبين الثالث"
"32281-8","","","","","","","","","Carnitine free (C0)/Carnitine.total in Serum or Plasma","نسبة الكارنيتين الحر على الكارنيتين الكلي في البول","نسبة الكارنيتين الحر على الكارنيتين الكلي في البول"
"3297-9","","","","","","","","","Acetaminophen [Presence] in Serum or Plasma","الباراستمول (دواء الباراسيتامول)","الأسيتامينوفين "" الباراستمول """
"3330-8","","","","","","","","","Amiodarone [Mass/volume] in Serum or Plasma","قياس مستوى الأميودارون "" الكورديرون ""","الأميودارون ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"33774-1","","","","","","","","","Karyotype [Identifier] in Chorionic villus sample Nominal","تحديد النمط النووي للكروموسومات في عينة الزغابات المشيمية","تحديد النمط النووي للكروموسومات في عينة الزغابات المشيمية"
"33893-9","","","","","","","","","Karyotype [Identifier] in Bone marrow Nominal","تحديد النمط النووي للكروموسومات في نقي العظم","تحديد النمط النووي للكروموسومات في نقي العظم"
"33979-6","","","","","","","","","Voltage-gated calcium channel N type binding Ab [Moles/volume] in Serum","أضداد قناة الكالسيوم نوع N","أضداد قناة الكالسيوم نوع N"
"33980-4","","","","","","","","","Voltage-gated calcium channel P/Q type binding Ab [Moles/volume] in Serum","أضداد قناة الكالسيوم نوع P\Q","أضداد قناة الكالسيوم نوع P\Q"
"24386-5","","","","","","","","","Cardiolipin IgM Ab [Presence] in Serum by Immunoassay","أضداد الغلوبولين المناعي نوع M للكارديوليبين","أضداد الغلوبولين المناعي نوع M للكارديوليبين"
"24396-4","","","","","","","","","Brucella sp IgG Ab [Presence] in Serum","أضداد الغلوبولين المناعي نوع G للبروسيلا","أضداد الغلوبولين المناعي نوع G للبروسيلا"
"27183-3","","","","","","","","","Cardiolipin IgG Ab [Presence] in Serum","أضداد الغلوبولين المناعي نوع G للكارديوليبين","أضداد الغلوبولين المناعي نوع G للكارديوليبين"
"2742-5","","","","","","","","","Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma","الأنزيم المحول للأنجيوتنسين","الأنزيم المحول للأنجيوتنسين"
"29512-1","","","","","","","","","Beta hydroxybutyrate [Mass/volume] in Serum or Plasma","حمض البيتا هيدروكسي بيوتيرات","حمض البيتا هيدروكسي بيوتيرات"
"29770-5","","","","","","","","","Karyotype [Identifier] in Blood or Tissue Nominal","تحديد النمط النووي للكروموسومات في الدم المحيطي","تحديد النمط النووي للكروموسومات في الدم المحيطي"
"30213-3","","","","","","","","","Coxiella burnetii IgM Ab [Presence] in Serum","أضداد الغلوبولين المناعي نوع M للكوكسيلا البورنيتية "" حمى Q ""","أضداد الغلوبولين المناعي نوع M للكوكسيلا البورنيتية "" حمى Q """
"30934-4","","","","","","","","","Natriuretic peptide B [Mass/volume] in Serum or Plasma","الببتيد الدماغي المدر للصوديوم","الببتيد الدماغي المدر للصوديوم"
"3094-0","","","","","","","","","Urea nitrogen [Mass/volume] in Serum or Plasma","قياس مستوى نتروجين يوريا الدم","قياس مستوى نتروجين يوريا الدم"
"31152-2","","","","","","","","","Immunoglobulin light chains [Presence] in 24 hour Urine","الكشف عن تواجد سلاسل خفيفة من الغلوبولين المناعي في البول","الكشف عن تواجد سلاسل خفيفة من الغلوبولين المناعي في البول"
"31157-1","","","","","","","","","Carboxyhemoglobin [Mass/volume] in Blood","الهيموغلوبين الكربوكسي","الخضاب "" الهيموغلوبين "" الكربوكسي"
"31788-3","","","","","","","","","Cryptococcus sp Ag [Presence] in Cerebral spinal fluid","تحري مستضد المستخفية المورمة","تحري مستضد المستخفية المورمة"
